"model","MASE","RMSE","MAE","MAPE","lb_stat_12","lb_pvalue_12","lb_stat_24","lb_pvalue_24","n_lags_out_12","n_lags_out_24"
"tbats",0.770576269873618,2.33450091614064,1.98372615087077,35.7024305713813,11.0632460449566,0.523506411007849,33.781017899528,0.0886367926397184,1,2
"ets_additive",0.806972488684126,2.36286309023136,2.07742243230319,37.2900939503848,11.0842788311007,0.521710129783151,32.216280735908,0.121719318787501,0,1
"tslm_fourier",0.833492581806688,2.40732035388092,2.14569419761382,38.2343167732038,11.6321561415346,0.475655184577523,31.2184750178592,0.147582666151041,0,1
"arima_fourier",0.84275486166294,2.42371021097985,2.16953846519105,39.4121032149907,10.7224438033412,0.466800541316088,31.627045293855,0.108151636538914,0,1
"seasonal_naive",0.941664910114728,2.69355558076433,2.42416666666667,43.1734413047062,136.474352522895,0,159.316379533587,0,5,6
